FEATURE,MICRO-FEATURE,TRIGGER,event,feature.name,feature.type,step.name,step.index,step.type,step.success,interaction.name,interaction.value,message.type,message.name,message.code,
Aquisição de Plano,Concluir compra (sem aparelho),Ao ser exibido qualquer aviso,'interface-message','plan-acquisition','purchase-funnel','summary',7,'intermediary',false,,,'warning' | 'error','warning' | 'error',,
Aquisição de Plano,Confirmação do Pedido (sem aparelho),No carregamento da página de confirmação do pedido,'feature-step','plan-acquisition','purchase-funnel','order-confirmation',8,'completion',true,,,,,,
,,,,,,,,,,,,,,,
Aquisição de Plano,Seleção de Plano,No carregamento da página de seleção de planos,'feature-step','plan-acquisition','purchase-funnel','plan-selection',1,'initial',false,,,,,,
Aquisição de Plano com Aparelho,Seleção de Plano,"Ao selecionar ""Escolher Aparelho""",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','plan-selection',1,'initial',false,'proceed','with-a-phone',,,,
Aquisição de Plano com Aparelho,Seleção de Aparelho,No carregamento da página de seleção de aparelhos,'feature-step','plan-and-phone-acquisition','purchase-funnel','phone-selection',2,'intermediary',false,,,,,,
Aquisição de Plano com Aparelho,Seleção de Aparelho,Ao selecionar o aparelho,'feature-interaction','plan-and-phone-acquisition','purchase-funnel','phone-selection',2,'intermediary',false,'select-phone','phone',,,,
Aquisição de Plano com Aparelho,Seleção de Aparelho,Ao ser exibido qualquer aviso,'interface-message','plan-and-phone-acquisition','purchase-funnel','phone-selection',2,'intermediary',false,,,'warning' | 'error','warning' | 'error',,
Aquisição de Plano com Aparelho,Detalhe do Aparelho,No carregamento da página do aparelho,'feature-step','plan-and-phone-acquisition','purchase-funnel','phone-details',2,'intermediary',false,,,,,,
Aquisição de Plano com Aparelho,Detalhe do Aparelho,"Ao selecionar um plano (clicando em ""Comprar"")",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','phone-details',2,'intermediary',false,'select-plan','plan',,,,
Aquisição de Plano com Aparelho,Ofertas Adicionais (com aparelho),No carregamento da página de ofertas adicionais,'feature-step','plan-and-phone-acquisition','purchase-funnel','additional-offers',2,'intermediary',false,,,,,,
Aquisição de Plano com Aparelho,Ofertas Adicionais (com aparelho),"Ao selecionar ""Prosseguir""",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','additional-offers',2,'intermediary',false,'proceed','next',,,,
Aquisição de Plano com Aparelho,Carrinho (com aparelho),No carregamento da página,'feature-step','plan-and-phone-acquisition','purchase-funnel','cart',3,'intermediary',false,,,,,,
Aquisição de Plano com Aparelho,Carrinho (com aparelho),"Ao selecionar ""Prosseguir""",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','cart',3,'intermediary',false,'proceed','next',,,,
Aquisição de Plano com Aparelho,Carrinho (com aparelho),"Ao selecionar ""Calcular""",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','cart',3,'intermediary',false,'calculate-coupon','calculate-coupon',,,,
Aquisição de Plano com Aparelho,Carrinho (com aparelho),"Ao selecionar ""Voltar""",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','cart',3,'intermediary',false,'navigate','go-back',,,,
Aquisição de Plano com Aparelho,Carrinho (com aparelho),Ao ser exibido qualquer aviso,'interface-message','plan-and-phone-acquisition','purchase-funnel','cart',3,'intermediary',false,,,'warning' | 'error','warning' | 'error',,
Aquisição de Plano com Aparelho,Identificação (com aparelho),No carregamento da página,'feature-step','plan-and-phone-acquisition','purchase-funnel','login',4,'intermediary',false,,,,,,
Aquisição de Plano com Aparelho,Identificação (com aparelho),"Ao enviar o formulário de login (Clique em ""Entrar"", etc.)",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','login',4,'intermediary',true | false,'login','login',,,,
Aquisição de Plano com Aparelho,Identificação (com aparelho),"Ao enviar o formulário de cadastro (Clique em ""Cadastrar"", etc.)",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','login',4,'intermediary',false,'register','register',,,,
Aquisição de Plano com Aparelho,Identificação (com aparelho),Ao ser exibido qualquer aviso,'interface-message','plan-and-phone-acquisition','purchase-funnel','login',4,'intermediary',false,,,'warning' | 'error','warning' | 'error',,
Aquisição de Plano com Aparelho,Cadastro (com aparelho),No carregamento da página,'feature-step','plan-and-phone-acquisition','purchase-funnel','registration',4,'intermediary',false,,,,,,
Aquisição de Plano com Aparelho,Cadastro (com aparelho),Ao prosseguir após a inserção de dados pessoais,'feature-interaction','plan-and-phone-acquisition','purchase-funnel','registration',4,'intermediary',false,'form','id-info',,,,
Aquisição de Plano com Aparelho,Cadastro (com aparelho),Ao prosseguir após a inserção de dados de cobrança,'feature-interaction','plan-and-phone-acquisition','purchase-funnel','registration',4,'intermediary',false,'form','payment-info',,,,
Aquisição de Plano com Aparelho,Cadastro (com aparelho),Ao prosseguir após a inserção de dados de login,'feature-interaction','plan-and-phone-acquisition','purchase-funnel','registration',4,'intermediary',false,'form','login-info',,,,
Aquisição de Plano com Aparelho,Cadastro (com aparelho),Ao ser exibido qualquer aviso,'interface-message','plan-and-phone-acquisition','purchase-funnel','registration',4,'intermediary',false,,,'warning' | 'error','warning' | 'error',,
Aquisição de Plano com Aparelho,Endereço de entrega (com aparelho),Ao ser exibido o passo de seleção do endereço,'feature-step','plan-and-phone-acquisition','purchase-funnel','delivery-address',5,'intermediary',false,,,,,,
Aquisição de Plano com Aparelho,Endereço de entrega (com aparelho),Ao selecionar a atualização de endereço,'feature-interaction','plan-and-phone-acquisition','purchase-funnel','delivery-address',5,'intermediary',false,'pick-address','new-address',,,,
Aquisição de Plano com Aparelho,Endereço de entrega (com aparelho),Ao selecionar a entrega no endereço pré-cadastrado,'feature-interaction','plan-and-phone-acquisition','purchase-funnel','delivery-address',5,'intermediary',false,'pick-address','choose-address',,,,
Aquisição de Plano com Aparelho,Endereço de entrega (com aparelho),"Ao selecionar ""Prosseguir""",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','delivery-address',5,'intermediary',false,'proceed','next',,,,
Aquisição de Plano com Aparelho,Endereço de entrega (com aparelho),"Ao selecionar ""Voltar""",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','delivery-address',5,'intermediary',false,'navigate','go-back',,,,
Aquisição de Plano com Aparelho,Endereço de entrega (com aparelho),Ao ser exibido qualquer aviso,'interface-message','plan-and-phone-acquisition','purchase-funnel','delivery-address',5,'intermediary',false,,,'warning' | 'error','warning' | 'error',,
