FEATURE,MICRO-FEATURE,TRIGGER,event,feature.name,feature.type,step.name,step.index,step.type,step.success,interaction.name,interaction.value,message.type,message.name,message.code,
,,,,,,,,,,,,,,
Consumo,Controle de Consumo - Ativacao,No momento que o sistema retornar um aviso para a não-realização da operação,'interface-message','consumption-control-activation','comsumption',-,-,-,false,-,-,'warning','string','string'
Consumo,Controle de Consumo - Ativacao,No momento que a operação falhar a execução,'interface-message','consumption-control-activation','comsumption',-,-,-,false,-,-,'error','string','string'
Consumo,Controle de Consumo - Desativacao,No carregamento da página,'feature-step','consumption-control-deactivation','comsumption','home',1,'initial',false,-,-,-,-,-
Consumo,Controle de Consumo - Desativacao,Clique para desativar ou ativar controle de consumo,'feature-interaction','consumption-control-deactivation','comsumption','home',1,'initial',false,'to-disable','next' | 'cancel',-,-,-
Consumo,Controle de Consumo - Desativacao,No carregamento da página,'feature-step','consumption-control-deactivation','comsumption','confirm',2,'intermediary',false,-,-,-,-,-
Consumo,Controle de Consumo - Desativacao,Clique para confirmar ou cancelar desativação,'feature-interaction','consumption-control-deactivation','comsumption','confirm',2,'intermediary',false,'confirm','next' | 'cancel',-,-,-
Consumo,Controle de Consumo - Desativacao,No carregamento da página,'feature-step','consumption-control-deactivation','comsumption','deactivation-success',3,'completion',true,-,-,-,-,-
Consumo,Controle de Consumo - Desativacao,No momento que o sistema retornar um aviso para a não-realização da operação,'interface-message','consumption-control-deactivation','comsumption',-,-,-,false,-,-,'warning','string','string'
Consumo,Controle de Consumo - Desativacao,No momento que a operação falhar a execução,'interface-message','consumption-control-deactivation','comsumption',-,-,-,false,-,-,'error','string','string'
Consumo,Detalhamento de Consumo de E-mail - Ativacao,No carregamento da página,'feature-step','detailing-email-consumption-activation','comsumption','home',1,'initial',false,-,-,-,-,-
Consumo,Detalhamento de Consumo de E-mail - Ativacao,"Clique para desativar, ativar ou alterar (apenas para ativos) detalhamento por email",'feature-interaction','detailing-email-consumption-activation','comsumption','home',1,'initial',false,'confirm','next' | 'cancel',-,-,-
Consumo,Detalhamento de Consumo de E-mail - Ativacao,No carregamento da página,'feature-step','detailing-email-consumption-activation','comsumption','select-date',2,'intermediary',false,-,-,-,-,-
Consumo,Detalhamento de Consumo de E-mail - Ativacao,Clique para confirmar ou cancelar ativação,'feature-interaction','detailing-email-consumption-activation','comsumption','select-date',2,'intermediary',false,'confirm-activation','next' | 'cancel',-,-,-
Consumo,Detalhamento de Consumo de E-mail - Ativacao,No carregamento da página,'feature-step','detailing-email-consumption-activation','comsumption','activation-success',3,'completion',true,-,-,-,-,-
Consumo,Detalhamento de Consumo de E-mail - Ativacao,No momento que o sistema retornar um aviso para a não-realização da operação,'interface-message','detailing-email-consumption-activation','comsumption',-,-,-,false,-,-,'warning','string','string'
Consumo,Detalhamento de Consumo de E-mail - Ativacao,No momento que a operação falhar a execução,'interface-message','detailing-email-consumption-activation','comsumption',-,-,-,false,-,-,'error','string','string'
Consumo,Detalhamento de Consumo de E-mail - Desativacao,No carregamento da página,'feature-step','detailing-email-consumption-deactivation','comsumption','home',1,'initial',false,-,-,-,-,-
